# Note that these R2 values are still unadjusted and need to be adjusted following Peres-Neto (2006). Correction term: 1 - (n-1)/(n-p-1) = 1 - 999/995
# nb.scenario, noise, true.r2, resampled.r2, resampled.uncertainty, bs.r2, bs.sd, bs.ci.lower, bs.ci.upper
1 , 0 , 0.2549796 , 0.2563475 , 0.01064418 , 0.2569483 , 0.00899238 , 0.2396845 , 0.2747567 
2 , 0 , 0.1527186 , 0.1536461 , 0.01584089 , 0.1411033 , 0.01457581 , 0.1133238 , 0.1702992 
3 , 0 , 0.3033144 , 0.3027218 , 0.007786195 , 0.3121989 , 0.007882208 , 0.2970393 , 0.3268226 
4 , 0 , 0.7248719 , 0.7227674 , 0.008258861 , 0.7209979 , 0.008978374 , 0.7037447 , 0.7381913 
5 , 0 , 0.3356397 , 0.3342932 , 0.01007263 , 0.3327028 , 0.01000836 , 0.3127854 , 0.3510674 
6 , 0 , 0.5742204 , 0.5755736 , 0.01746219 , 0.6068788 , 0.01672196 , 0.5735651 , 0.6389271 
7 , 0 , 0.726812 , 0.7274226 , 0.01261812 , 0.7268768 , 0.0129664 , 0.7011213 , 0.7522252 
8 , 0 , 0.3385026 , 0.3376386 , 0.009292262 , 0.3347636 , 0.009130893 , 0.3176674 , 0.3521899 
9 , 0 , 0.3246322 , 0.3255975 , 0.01082984 , 0.3196641 , 0.008000311 , 0.3037356 , 0.3355233 
10 , 0 , 0.1695061 , 0.1710556 , 0.007606715 , 0.177656 , 0.007627112 , 0.1637257 , 0.1924956 
11 , 0 , 0.3795111 , 0.3815577 , 0.0157793 , 0.4097781 , 0.01560956 , 0.3781434 , 0.4393146 
12 , 0 , 0.3091308 , 0.3084694 , 0.006978954 , 0.2918929 , 0.007517554 , 0.2768518 , 0.3068231 
13 , 0 , 0.1244788 , 0.1249544 , 0.006364641 , 0.1208513 , 0.005505839 , 0.1099185 , 0.1314361 
14 , 0 , 0.6098488 , 0.6089425 , 0.0122927 , 0.6155884 , 0.01150119 , 0.5912393 , 0.6368704 
15 , 0 , 0.4962952 , 0.4941928 , 0.01057801 , 0.4862537 , 0.009879232 , 0.4670118 , 0.5057065 
16 , 0 , 0.7721334 , 0.7692572 , 0.01202207 , 0.7807845 , 0.01232737 , 0.7563098 , 0.8039523 
17 , 0 , 0.6005007 , 0.5975401 , 0.01488989 , 0.5808838 , 0.01784392 , 0.5433231 , 0.6135379 
18 , 0 , 0.350826 , 0.34868 , 0.009910562 , 0.3561849 , 0.01003593 , 0.3357719 , 0.3751816 
19 , 0 , 0.1086449 , 0.1090126 , 0.004981938 , 0.1114522 , 0.004678598 , 0.1026534 , 0.1212939 
20 , 0 , 0.5567159 , 0.557807 , 0.01011657 , 0.5553901 , 0.009654673 , 0.5361333 , 0.5738538 
21 , 0 , 0.3086192 , 0.309477 , 0.007665174 , 0.3095012 , 0.007885671 , 0.294166 , 0.3247321 
22 , 0 , 0.4588785 , 0.4571247 , 0.0134515 , 0.4291153 , 0.01392128 , 0.4027747 , 0.4564177 
23 , 0 , 0.5646809 , 0.5659753 , 0.01262259 , 0.5419043 , 0.01505965 , 0.510724 , 0.5720295 
24 , 0 , 0.05565494 , 0.05638948 , 0.005332638 , 0.05371735 , 0.004015635 , 0.04679016 , 0.06228085 
25 , 0 , 0.6937275 , 0.693257 , 0.01023611 , 0.6863705 , 0.01042752 , 0.6656688 , 0.706444 
26 , 0 , 0.3181229 , 0.316209 , 0.0318564 , 0.2833982 , 0.02502526 , 0.2388126 , 0.3388596 
27 , 0 , 0.04556979 , 0.04597722 , 0.002906544 , 0.04357559 , 0.00263769 , 0.03868869 , 0.04860878 
28 , 0 , 0.4274258 , 0.4269723 , 0.0104821 , 0.4393134 , 0.01050205 , 0.4181159 , 0.4602977 
29 , 0 , 0.3550635 , 0.3555408 , 0.01003465 , 0.376458 , 0.01094773 , 0.3546375 , 0.3974105 
30 , 0 , 0.1680556 , 0.1685954 , 0.006277487 , 0.1631644 , 0.005674863 , 0.1521008 , 0.1743114 
31 , 0 , 0.4161546 , 0.4141949 , 0.01360612 , 0.4007552 , 0.01401634 , 0.3736301 , 0.4267323 
32 , 0 , 0.4758606 , 0.4764025 , 0.0164093 , 0.4726833 , 0.0171851 , 0.4381314 , 0.5078258 
33 , 0 , 0.4952852 , 0.4939272 , 0.0105604 , 0.4955023 , 0.01042674 , 0.4746454 , 0.5157797 
34 , 0 , 0.4315097 , 0.4304939 , 0.017462 , 0.4067466 , 0.01697119 , 0.3719101 , 0.4407209 
35 , 0 , 0.1031502 , 0.1044281 , 0.004929959 , 0.09979512 , 0.004207974 , 0.09212927 , 0.1081374 
36 , 0 , 0.1822826 , 0.1814935 , 0.007115031 , 0.1801437 , 0.007112886 , 0.1662799 , 0.1947129 
37 , 0 , 0.4119532 , 0.4117025 , 0.01233016 , 0.4221612 , 0.01422814 , 0.3949702 , 0.4488196 
38 , 0 , 0.1991467 , 0.1989446 , 0.006419067 , 0.1907967 , 0.006157105 , 0.1780001 , 0.2028224 
39 , 0 , 0.1155204 , 0.1161475 , 0.007426038 , 0.1153645 , 0.006723474 , 0.1023249 , 0.1290092 
40 , 0 , 0.07740478 , 0.07819411 , 0.005103406 , 0.07135319 , 0.005694404 , 0.06032908 , 0.0826492 
41 , 0 , 0.08487142 , 0.08512135 , 0.003632104 , 0.08344689 , 0.003840831 , 0.07571375 , 0.0910779 
42 , 0 , 0.5070383 , 0.5051354 , 0.01426782 , 0.509333 , 0.01462712 , 0.4801217 , 0.5372313 
43 , 0 , 0.226326 , 0.2275924 , 0.008601477 , 0.2192659 , 0.007853235 , 0.2039865 , 0.2347276 
