#param, sd.noise, populationlevel.r2, mean.r2.resampling, sd.r2.resampling, bs.r2, bs.sd, bs.lower, bs.upper
0 , 0.05 , 1.950365e-07 , 0.002813246 , 0.004127595 , 0.0067516 , 0.008264928 , 1.521849e-05 , 0.02926988 
0 , 0.05 , 2.103368e-07 , 0.003815856 , 0.006039666 , 0.007052837 , 0.00887243 , 9.509043e-06 , 0.03515935 
0 , 0.05 , 1.469808e-07 , 0.004243582 , 0.005970677 , 0.00634528 , 0.008754983 , 1.114449e-05 , 0.03014876 
0 , 0.05 , 1.149342e-06 , 0.00430914 , 0.006575342 , 0.003271072 , 0.004505 , 5.235693e-06 , 0.01665232 
0 , 0.05 , 4.457374e-07 , 0.003396105 , 0.004871167 , 0.01454182 , 0.01403302 , 9.975224e-05 , 0.05468653 
0 , 0.05 , 1.392524e-07 , 0.004460157 , 0.006919827 , 0.004631487 , 0.006083387 , 2.248219e-06 , 0.02174908 
0 , 0.05 , 1.667869e-06 , 0.003604027 , 0.00485595 , 0.004570637 , 0.006470281 , 3.113177e-06 , 0.02307339 
0 , 0.05 , 3.202993e-09 , 0.004536315 , 0.007194704 , 0.004936284 , 0.006855447 , 4.699979e-06 , 0.02363432 
0 , 0.05 , 6.494288e-08 , 0.004490243 , 0.006093825 , 0.01909479 , 0.01854023 , 0.0001355052 , 0.06713189 
0 , 0.05 , 1.704989e-07 , 0.003425413 , 0.004424734 , 0.004725202 , 0.006518089 , 3.989027e-06 , 0.02255163 

0.1 , 0.05 , 0.005293451 , 0.009194848 , 0.01037518 , 0.01010421 , 0.009435817 , 8.888425e-05 , 0.03476067 
0.1 , 0.05 , 0.005157343 , 0.008776162 , 0.009634506 , 0.01111529 , 0.01157225 , 3.883882e-05 , 0.04038465 
0.1 , 0.05 , 0.005298571 , 0.009457048 , 0.008026623 , 0.008537665 , 0.009777385 , 9.970234e-06 , 0.03449398 
0.1 , 0.05 , 0.005303504 , 0.008020637 , 0.008238108 , 0.03018475 , 0.01847997 , 0.003075666 , 0.07408403 
0.1 , 0.05 , 0.005194087 , 0.009820305 , 0.01152239 , 0.005252822 , 0.007604923 , 3.834196e-06 , 0.02578181 
0.1 , 0.05 , 0.005254626 , 0.009692151 , 0.01071736 , 0.02217298 , 0.01533879 , 0.0009780473 , 0.05627852 
0.1 , 0.05 , 0.005244327 , 0.008585724 , 0.009225219 , 0.03728708 , 0.02151262 , 0.00631344 , 0.09045184 
0.1 , 0.05 , 0.005328085 , 0.007031364 , 0.008786117 , 0.02189951 , 0.01628484 , 0.0005371294 , 0.0605104 
0.1 , 0.05 , 0.00514609 , 0.01044809 , 0.0102189 , 0.01717732 , 0.01648523 , 2.396867e-05 , 0.05916255 
0.1 , 0.05 , 0.005157102 , 0.007550453 , 0.009855904 , 0.004587564 , 0.00630062 , 4.719023e-06 , 0.0217549 

0.2 , 0.05 , 0.02148969 , 0.02830536 , 0.0191302 , 0.03733477 , 0.02059071 , 0.005353734 , 0.08539343 
0.2 , 0.05 , 0.0215236 , 0.02612967 , 0.01669552 , 0.01659796 , 0.01422102 , 0.0001602352 , 0.05072011 
0.2 , 0.05 , 0.02144078 , 0.02377511 , 0.01716662 , 0.03155996 , 0.02188792 , 0.001416977 , 0.08064621 
0.2 , 0.05 , 0.02171977 , 0.02720063 , 0.02097925 , 0.03170701 , 0.02343386 , 0.001640385 , 0.09123236 
0.2 , 0.05 , 0.02178274 , 0.02478579 , 0.01855415 , 0.006118703 , 0.007869893 , 5.543297e-06 , 0.02859048 
0.2 , 0.05 , 0.02134271 , 0.02885531 , 0.01864694 , 0.01412395 , 0.0142031 , 2.927822e-05 , 0.04833844 
0.2 , 0.05 , 0.02166734 , 0.02535613 , 0.0155977 , 0.02192272 , 0.01701158 , 0.0002425418 , 0.06251059 
0.2 , 0.05 , 0.02171653 , 0.02657007 , 0.01659956 , 0.005972355 , 0.007537971 , 5.563586e-06 , 0.02820986 
0.2 , 0.05 , 0.02168819 , 0.02590384 , 0.01765247 , 0.04294014 , 0.02356581 , 0.008098614 , 0.09706431 
0.2 , 0.05 , 0.02178165 , 0.02371096 , 0.01952514 , 0.01554603 , 0.01195606 , 0.0002519913 , 0.04289141 

0.3 , 0.05 , 0.04905448 , 0.05191316 , 0.02630562 , 0.102479 , 0.03536283 , 0.04252584 , 0.176209 
0.3 , 0.05 , 0.04896967 , 0.05023822 , 0.022515 , 0.03472169 , 0.02362004 , 0.002402461 , 0.0903952 
0.3 , 0.05 , 0.04922798 , 0.05281919 , 0.02721028 , 0.07667491 , 0.03578949 , 0.01799939 , 0.1546563 
0.3 , 0.05 , 0.04872761 , 0.05166479 , 0.02256944 , 0.03599157 , 0.01811668 , 0.008267062 , 0.07669999 
