#param, sd.noise, populationlevel.r2, mean.r2.resampling, sd.r2.resampling, bs.r2, bs.sd, bs.lower, bs.upper 
5 , 0.05 , 0.3456065 , 0.3597847 , 0.2644515 , 0.2364651 , 0.2050844 , -4.70791e-16 , 0.6383557 
5 , 0.05 , 0.3455353 , 0.3268097 , 0.2597522 , 0.3758607 , 0.3032891 , -1.611992e-16 , 0.9924963 
5 , 0.05 , 0.3465491 , 0.4210063 , 0.2679084 , 0.4935492 , 0.3219948 , -4.496826e-16 , 0.9981637 
5 , 0.05 , 0.3452128 , 0.3366201 , 0.2640431 , 0.3702501 , 0.2741198 , -4.408408e-16 , 0.9542712 
5 , 0.05 , 0.3454679 , 0.3093747 , 0.2545976 , 0.267533 , 0.2544018 , -3.099522e-16 , 0.8407884 
5 , 0.05 , 0.3458907 , 0.3767855 , 0.2581233 , 0.3379538 , 0.368989 , -3.842428e-16 , 0.9962653 
5 , 0.05 , 0.3446079 , 0.3735003 , 0.2623955 , 0.4350981 , 0.3216308 , -1.747467e-16 , 0.8783224 
5 , 0.05 , 0.3455304 , 0.3684827 , 0.2749566 , 0.05188047 , 0.07980004 , -4.343138e-16 , 0.3246603 
5 , 0.05 , 0.3453024 , 0.3322539 , 0.2500709 , 0.2371366 , 0.2562687 , -5.167451e-16 , 0.9380908 
5 , 0.05 , 0.3455426 , 0.3789708 , 0.2495115 , 0.3457279 , 0.2808467 , -5.326343e-16 , 0.9914043 

10 , 0.05 , 0.346082 , 0.3673442 , 0.1792455 , 0.2833111 , 0.2210132 , 0.001078034 , 0.779888 
10 , 0.05 , 0.3461441 , 0.328093 , 0.1878438 , 0.3444158 , 0.228379 , 0.004269723 , 0.8392278 
10 , 0.05 , 0.3448497 , 0.3658882 , 0.2134976 , 0.2735221 , 0.1911107 , 0.01399691 , 0.742529 
10 , 0.05 , 0.3453659 , 0.351888 , 0.2077751 , 0.2569278 , 0.198594 , 0.004822038 , 0.7438572 
10 , 0.05 , 0.3457722 , 0.3387174 , 0.2045064 , 0.2720064 , 0.2564544 , 0.0007096432 , 0.8294523 
10 , 0.05 , 0.3467734 , 0.366718 , 0.2180526 , 0.155914 , 0.1125767 , 0.003055971 , 0.4447429 
10 , 0.05 , 0.3457316 , 0.3643723 , 0.2051385 , 0.4529235 , 0.1840074 , 0.1280678 , 0.8409702 
10 , 0.05 , 0.345636 , 0.3602531 , 0.1937626 , 0.2893426 , 0.1681696 , 0.01083751 , 0.6141206 
