#param, sd.noise, populationlevel.r2, mean.r2.resampling, sd.r2.resampling, bs.r2, bs.sd, bs.lower, bs.upper
0 , 0.05 , 0.3457485 , 0.3505467 , 0.05787537 , 0.3018687 , 0.05490229 , 0.2038478 , 0.422107 
0 , 0.05 , 0.34585 , 0.3429703 , 0.06149308 , 0.2549544 , 0.04811241 , 0.1653791 , 0.3549451 
0 , 0.05 , 0.3459491 , 0.3409742 , 0.05169636 , 0.3052344 , 0.04892863 , 0.2120028 , 0.4006226 
0 , 0.05 , 0.3452267 , 0.3527732 , 0.0647851 , 0.372274 , 0.06203315 , 0.2517956 , 0.4953593 
0 , 0.05 , 0.3445572 , 0.3400283 , 0.06426305 , 0.3338856 , 0.05795771 , 0.2242976 , 0.4545546 
0 , 0.05 , 0.3445008 , 0.3512351 , 0.05987113 , 0.2524751 , 0.05608483 , 0.1487669 , 0.3650996 
0 , 0.05 , 0.3457571 , 0.340691 , 0.06085249 , 0.2427212 , 0.05534074 , 0.1416219 , 0.3546117 
0 , 0.05 , 0.345755 , 0.3519564 , 0.07426657 , 0.3089892 , 0.05702781 , 0.202427 , 0.4257893 
0 , 0.05 , 0.3453791 , 0.3468357 , 0.05825018 , 0.3139703 , 0.05924931 , 0.1987729 , 0.4263574 
0 , 0.05 , 0.344259 , 0.3427364 , 0.0585528 , 0.3293405 , 0.05072739 , 0.2332215 , 0.4327514 

0.1 , 0.05 , 0.346735 , 0.3085397 , 0.05650765 , 0.3271757 , 0.05379912 , 0.2269016 , 0.4315977 
0.1 , 0.05 , 0.3454698 , 0.3023704 , 0.05236055 , 0.3114085 , 0.0596202 , 0.1991051 , 0.4361673 
0.1 , 0.05 , 0.3449996 , 0.3079153 , 0.05398907 , 0.3136759 , 0.05221666 , 0.2163582 , 0.4269712 
0.1 , 0.05 , 0.345591 , 0.3123831 , 0.06132866 , 0.3194648 , 0.05666607 , 0.2121921 , 0.4334733 
0.1 , 0.05 , 0.3462147 , 0.3081361 , 0.06538556 , 0.3390289 , 0.05960236 , 0.2252126 , 0.4601347 
0.1 , 0.05 , 0.3451787 , 0.294998 , 0.05194464 , 0.2253773 , 0.04282971 , 0.1411 , 0.3101686 
0.1 , 0.05 , 0.3456222 , 0.3009033 , 0.05587025 , 0.2727273 , 0.05237749 , 0.1745587 , 0.3790052 
0.1 , 0.05 , 0.3460867 , 0.3155161 , 0.06014955 , 0.3315984 , 0.06576101 , 0.2092744 , 0.4648998 
0.1 , 0.05 , 0.345266 , 0.3020181 , 0.0588284 , 0.2239305 , 0.05092441 , 0.1305575 , 0.329652 
0.1 , 0.05 , 0.3448436 , 0.3018623 , 0.06440531 , 0.1784219 , 0.04256276 , 0.1017684 , 0.2696622 

0.2 , 0.05 , 0.3455487 , 0.2664971 , 0.05261173 , 0.2100995 , 0.05847757 , 0.1053671 , 0.3295925 
0.2 , 0.05 , 0.3468885 , 0.2678976 , 0.04809767 , 0.247115 , 0.04929531 , 0.1530049 , 0.3450329 
0.2 , 0.05 , 0.3463239 , 0.2689436 , 0.05433453 , 0.2220293 , 0.05111293 , 0.1240601 , 0.3262538 
0.2 , 0.05 , 0.3452679 , 0.2681509 , 0.05220289 , 0.3445219 , 0.05205524 , 0.2448862 , 0.4404283 
0.2 , 0.05 , 0.3453195 , 0.2604205 , 0.04899378 , 0.2701606 , 0.05723856 , 0.1707547 , 0.3867017 
0.2 , 0.05 , 0.3455206 , 0.2744721 , 0.05644114 , 0.2978435 , 0.05839417 , 0.1918732 , 0.4160907 
0.2 , 0.05 , 0.3451534 , 0.2654859 , 0.05858424 , 0.2893527 , 0.05870551 , 0.1801821 , 0.4094549 
0.2 , 0.05 , 0.3449892 , 0.2617683 , 0.06448417 , 0.2264682 , 0.04890874 , 0.1382798 , 0.3250965 
0.2 , 0.05 , 0.3464003 , 0.2658384 , 0.0499047 , 0.3634651 , 0.05244917 , 0.2619247 , 0.4642752 
0.2 , 0.05 , 0.3456036 , 0.2726913 , 0.05535497 , 0.2887562 , 0.05604936 , 0.1893407 , 0.404715 

