#param, sd.noise, mean.vp.estimate, sd.vp.estimate, relative.uncertainty, bias 
0 , 0 , 0.0004532378 , 0.0006639936 , 146.5 , 0.0004532378 
0 , 0 , 0.0003932507 , 0.0006639027 , 168.8243 , 0.0003931853 
0 , 0 , 0.0003578755 , 0.0005102564 , 142.5793 , 0.000357875 
0 , 0 , 0.0003912782 , 0.0005578873 , 142.5807 , 0.0003912619 
0 , 0 , 0.0003592261 , 0.0004160413 , 115.816 , 0.0003591752 
0 , 0 , 0.0003985148 , 0.0004896436 , 122.8671 , 0.0003984422 
0 , 0 , 0.0003498335 , 0.0004411769 , 126.1105 , 0.0003497404 
0 , 0 , 0.000333798 , 0.0003865041 , 115.7898 , 0.0003337701 
0 , 0 , 0.0003762842 , 0.0004837025 , 128.5471 , 0.0003762838 
0 , 0 , 0.0004560764 , 0.0006246099 , 136.9529 , 0.000456076 
0.1 , 0 , 0.8866942 , 0.1394301 , 15.72471 , 0.01453642 
0.1 , 0 , 0.8674042 , 0.1308013 , 15.07962 , -0.00667998 
0.1 , 0 , 0.871075 , 0.1123174 , 12.89412 , -0.0002503884 
0.1 , 0 , 0.8780082 , 0.1408008 , 16.03639 , 0.002507365 
0.1 , 0 , 0.9025168 , 0.1354769 , 15.01101 , 0.02998525 
0.1 , 0 , 0.8911111 , 0.1339799 , 15.03515 , 0.01649227 
0.1 , 0 , 0.9008476 , 0.1301089 , 14.44294 , 0.02706366 
0.1 , 0 , 0.8730127 , 0.1312035 , 15.02881 , 0.001485269 
0.1 , 0 , 0.8748732 , 0.1445977 , 16.52784 , 0.001968966 
0.1 , 0 , 0.8713046 , 0.129617 , 14.8762 , -0.0008814077 
0.2 , 0 , 3.397113 , 0.4475519 , 13.17448 , -0.02042833 
0.2 , 0 , 3.331262 , 0.4322022 , 12.97413 , -0.0888918 
0.2 , 0 , 3.495 , 0.5072406 , 14.51332 , 0.08526848 
0.2 , 0 , 3.434065 , 0.4828947 , 14.0619 , 0.01511762 
0.2 , 0 , 3.45584 , 0.459543 , 13.29758 , 0.03591635 
0.2 , 0 , 3.47877 , 0.5359923 , 15.40753 , 0.05841183 
0.2 , 0 , 3.392002 , 0.548649 , 16.17478 , -0.02731824 
0.2 , 0 , 3.422129 , 0.54781 , 16.00787 , -9.214314e-05 
0.2 , 0 , 3.421791 , 0.5128578 , 14.98799 , 0.01205342 
0.2 , 0 , 3.364678 , 0.4545601 , 13.50976 , -0.05069504 
0.3 , 0 , 7.314256 , 1.099299 , 15.02954 , -0.1005458 
0.3 , 0 , 7.377343 , 1.095993 , 14.8562 , -0.02588959 
0.3 , 0 , 7.300583 , 1.041718 , 14.26897 , -0.08611568 
0.3 , 0 , 7.301881 , 0.886516 , 12.14093 , -0.07716092 
0.3 , 0 , 7.425353 , 1.175813 , 15.83511 , 0.0246207 
0.3 , 0 , 7.311205 , 0.9521243 , 13.02281 , -0.08677288 
0.3 , 0 , 7.411318 , 1.071492 , 14.45751 , -0.009323616 
0.3 , 0 , 7.265611 , 0.9435101 , 12.98597 , -0.1268335 
0.3 , 0 , 7.42379 , 1.042902 , 14.0481 , 0.04358525 
0.3 , 0 , 7.543709 , 1.116136 , 14.79558 , 0.1542255 
0.4 , 0 , 12.15542 , 1.785118 , 14.68577 , -0.2976594 
0.4 , 0 , 12.67544 , 1.820084 , 14.35914 , 0.2344686 
0.4 , 0 , 12.55261 , 1.703615 , 13.5718 , 0.1127412 
0.4 , 0 , 12.60235 , 1.976634 , 15.68465 , 0.1373776 
0.4 , 0 , 12.3636 , 1.525325 , 12.33723 , -0.09657315 
0.4 , 0 , 12.64725 , 1.742268 , 13.77586 , 0.1934996 
0.4 , 0 , 12.41037 , 1.485276 , 11.96802 , -0.0297493 
0.4 , 0 , 12.63241 , 1.924788 , 15.2369 , 0.1681442 
0.4 , 0 , 12.74554 , 1.628369 , 12.77599 , 0.2893653 
0.4 , 0 , 12.09792 , 1.591368 , 13.15406 , -0.3090845 
0.5 , 0 , 18.59052 , 2.684537 , 14.44035 , 0.3809773 
0.5 , 0 , 18.18094 , 2.496009 , 13.72871 , 0.01410632 
0.5 , 0 , 17.8621 , 2.438318 , 13.65079 , -0.3608705 
0.5 , 0 , 18.17104 , 2.327603 , 12.80941 , 0.006345226 
0.5 , 0 , 17.84737 , 2.509444 , 14.06058 , -0.2959701 
0.5 , 0 , 18.1312 , 2.901564 , 16.00315 , -0.02917494 
0.5 , 0 , 18.0001 , 2.558994 , 14.21656 , -0.1459215 
