#param, sd.noise, mean.vp.estimate, sd.vp.estimate, relative.uncertainty, bias 
5 , 0 , 44.97779 , 27.50301 , 61.14798 , -1.165359 
5 , 0 , 45.56018 , 28.04251 , 61.55049 , -0.6124687 
5 , 0 , 44.5751 , 28.7598 , 64.51986 , -1.530789 
5 , 0 , 45.16183 , 28.10277 , 62.22683 , -0.9035949 
5 , 0 , 46.21304 , 28.91501 , 62.56895 , 0.08725368 
5 , 0 , 46.90335 , 29.24173 , 62.34465 , 0.730223 
5 , 0 , 46.70792 , 26.24133 , 56.18175 , 0.5704652 
5 , 0 , 45.30443 , 29.63712 , 65.4177 , -0.8183247 
5 , 0 , 51.26533 , 28.46221 , 55.51941 , 5.070658 
5 , 0 , 42.95559 , 27.72358 , 64.5401 , -3.172741 
10 , 0 , 46.86934 , 21.66226 , 46.2184 , 0.6536627 
10 , 0 , 44.7565 , 19.82148 , 44.28737 , -1.42589 
10 , 0 , 44.06153 , 20.74565 , 47.08335 , -2.118615 
10 , 0 , 48.18016 , 20.22925 , 41.98668 , 1.995854 
10 , 0 , 44.83375 , 18.55391 , 41.3838 , -1.252154 
10 , 0 , 47.27944 , 19.95331 , 42.20292 , 1.134546 
10 , 0 , 48.93669 , 22.8574 , 46.70811 , 2.799855 
10 , 0 , 49.95362 , 20.26472 , 40.56708 , 3.741327 
10 , 0 , 42.08052 , 17.73968 , 42.15652 , -4.06958 
10 , 0 , 45.73544 , 20.08018 , 43.90508 , -0.3602609 
25 , 0 , 44.8598 , 11.04557 , 24.62242 , -1.27456 
25 , 0 , 47.32567 , 12.83869 , 27.12838 , 1.236365 
25 , 0 , 45.95136 , 12.05272 , 26.22931 , -0.2301203 
25 , 0 , 44.16049 , 11.09589 , 25.12629 , -2.006242 
25 , 0 , 46.47727 , 10.9601 , 23.58163 , 0.336988 
25 , 0 , 46.65103 , 12.34906 , 26.47115 , 0.6582159 
25 , 0 , 45.31377 , 12.40369 , 27.37289 , -0.8834647 
25 , 0 , 47.69988 , 12.17192 , 25.51772 , 1.549672 
25 , 0 , 45.36796 , 10.96826 , 24.17623 , -0.9693202 
25 , 0 , 48.99925 , 13.08099 , 26.69631 , 2.823131 
50 , 0 , 46.62545 , 8.712571 , 18.6863 , 0.4540657 
50 , 0 , 46.33033 , 8.438781 , 18.21438 , 0.06048303 
50 , 0 , 46.68266 , 7.990356 , 17.11632 , 0.5350021 
50 , 0 , 46.64501 , 8.472214 , 18.16317 , 0.4714028 
50 , 0 , 44.97177 , 8.984974 , 19.97914 , -1.258432 
50 , 0 , 47.50708 , 8.689481 , 18.29092 , 1.389689 
50 , 0 , 44.76396 , 7.474418 , 16.6974 , -1.412801 
50 , 0 , 45.67179 , 8.812673 , 19.29566 , -0.4291158 
50 , 0 , 46.2789 , 9.634091 , 20.81746 , 0.175453 
50 , 0 , 45.36658 , 7.770125 , 17.12742 , -0.8427607 
100 , 0 , 46.64169 , 5.643341 , 12.09935 , 0.460006 
100 , 0 , 45.77951 , 6.055831 , 13.22826 , -0.352981 
100 , 0 , 46.06488 , 5.906467 , 12.82206 , -0.1064668 
100 , 0 , 46.04549 , 5.614742 , 12.1939 , -0.1886869 
100 , 0 , 46.01583 , 6.125128 , 13.31092 , -0.1968001 
100 , 0 , 45.63152 , 5.725383 , 12.54699 , -0.5183402 
100 , 0 , 45.31845 , 6.780219 , 14.96128 , -0.803517 
100 , 0 , 46.62032 , 5.925276 , 12.70964 , 0.4278188 
100 , 0 , 45.34915 , 5.174087 , 11.40945 , -0.7526102 
100 , 0 , 47.37408 , 5.863805 , 12.37767 , 1.143863 
