#param, sd.noise, mean.vp.estimate, sd.vp.estimate, relative.uncertainty, bias 
0 , 0 , 46.30224 , 5.601092 , 12.0968 , 0.1631757 
0 , 0 , 46.37958 , 5.415371 , 11.6762 , 0.2406885 
0 , 0 , 46.64657 , 6.019472 , 12.90443 , 0.5414865 
0 , 0 , 46.03127 , 6.464506 , 14.04373 , -0.09954752 
0 , 0 , 45.79598 , 5.958577 , 13.01113 , -0.334427 
0 , 0 , 46.39345 , 5.773717 , 12.44511 , 0.1849521 
0 , 0 , 46.96675 , 5.870729 , 12.49976 , 0.8006229 
0 , 0 , 46.04542 , 6.609033 , 14.35329 , -0.08571318 
0 , 0 , 47.15315 , 7.072281 , 14.99853 , 1.002514 
0 , 0 , 45.38423 , 5.583262 , 12.30221 , -0.7348128 
0.1 , 0 , 42.54232 , 5.695028 , 13.38673 , -3.698987 
0.1 , 0 , 42.04544 , 5.132237 , 12.20641 , -4.066108 
0.1 , 0 , 41.21737 , 5.662163 , 13.73732 , -5.017992 
0.1 , 0 , 41.49731 , 5.214043 , 12.56477 , -4.609821 
0.1 , 0 , 40.90009 , 5.413549 , 13.23603 , -5.168651 
0.1 , 0 , 41.78775 , 4.756885 , 11.38344 , -4.352429 
0.1 , 0 , 41.43055 , 5.992017 , 14.4628 , -4.692753 
0.1 , 0 , 41.3288 , 5.593158 , 13.53332 , -4.882248 
0.1 , 0 , 42.20557 , 4.963185 , 11.75955 , -3.881515 
0.1 , 0 , 42.0061 , 4.628088 , 11.01765 , -4.13772 
0.2 , 0 , 36.17585 , 5.071762 , 14.01975 , -9.975787 
0.2 , 0 , 36.89978 , 4.891696 , 13.25671 , -9.245248 
0.2 , 0 , 36.79415 , 5.005195 , 13.60324 , -9.467082 
0.2 , 0 , 36.57331 , 5.058377 , 13.83079 , -9.543444 
0.2 , 0 , 36.63364 , 4.493703 , 12.2666 , -9.507644 
0.2 , 0 , 37.02193 , 5.442026 , 14.69947 , -9.184616 
0.2 , 0 , 36.27824 , 4.79154 , 13.20775 , -9.902486 
0.2 , 0 , 36.92618 , 4.564578 , 12.36136 , -9.274909 
0.2 , 0 , 36.44087 , 4.824467 , 13.23917 , -9.710916 
0.2 , 0 , 36.87325 , 5.384798 , 14.60354 , -9.301484 
0.3 , 0 , 31.85364 , 4.362123 , 13.69427 , -14.23534 
0.3 , 0 , 30.48332 , 3.728451 , 12.23112 , -15.65936 
